wr1;wr2;wr3;wr4;wr5;wr6;wr7;wr8;wblack1;wb1;wb2;wb3;wb4;wb5;wb6;wb7;wb8;wb9;ww1;ww2;ww3;ww4;ww5;ww6;ww7;wz1;wz2;wz3;wz4;wp1;wp2;wp3;wp4;association;pred
стопа_NOUN;бутылка_NOUN;снеговик_NOUN;боевик_NOUN;платье_NOUN;береза_NOUN;дума_NOUN;бумага_NOUN;бревно_NOUN;овсянка_NOUN;дятел_NOUN;кролик_NOUN;танец_NOUN;горн_NOUN;биржа_NOUN;доктор_NOUN;ударник_NOUN;область_NOUN;парашют_NOUN;театр_NOUN;прокат_NOUN;гриф_NOUN;жук_NOUN;течение_NOUN;обрез_NOUN;дума_NOUN;;;;биржа_NOUN;;;;биржа_NOUN;0.020000000000000004
почка_NOUN;стол_NOUN;скат_NOUN;канал_NOUN;Бермуды_NOUN;лазер_NOUN;нож_NOUN;шпион_NOUN;факел_NOUN;область_NOUN;диск_NOUN;дробь_NOUN;шар_NOUN;рулетка_NOUN;заноза_NOUN;посольство_NOUN;пилот_NOUN;бутылка_NOUN;крест_NOUN;секция_NOUN;гриф_NOUN;ясли_NOUN;эфир_NOUN;кавалер_NOUN;зона_NOUN;канал_NOUN;Бермуды_NOUN;;;бермуды_NOUN;посольство_NOUN;;;америка_PROPN;0.15000000000000002
паук_NOUN;Антарктида_PROPN;снеговик_NOUN;высота_NOUN;шар_NOUN;лук_NOUN;горло_NOUN;бочка_NOUN;частица_NOUN;проводник_NOUN;соль_NOUN;ссылка_NOUN;кавалер_NOUN;кролик_NOUN;утка_NOUN;Москва_PROPN;кошка_NOUN;водолаз_NOUN;урна_NOUN;дыра_NOUN;снаряд_NOUN;раковина_NOUN;зуб_NOUN;залог_NOUN;Австралия_PROPN;паук_NOUN;лук_NOUN;;;кошка_NOUN;кролик_NOUN;;;человек_NOUN;0.030000000000000006
крест_NOUN;боевик_NOUN;боров_NOUN;снаряд_NOUN;ведьма_NOUN;бокс_NOUN;ложе_NOUN;овсянка_NOUN;проказа_NOUN;труба_NOUN;линия_NOUN;жизнь_NOUN;пляж_NOUN;штат_NOUN;удел_NOUN;треугольник_NOUN;рыба_NOUN;машина_NOUN;супергерой_NOUN;верфь_NOUN;путь_NOUN;Лондон_PROPN;нож_NOUN;зона_NOUN;такса_NOUN;крест_NOUN;ведьма_NOUN;;;крест_NOUN;ведьма_NOUN;;;вера_NOUN;0.75
рак_NOUN;королева_NOUN;кулак_NOUN;порода_NOUN;голова_NOUN;кетчуп_NOUN;золото_NOUN;ясли_NOUN;бассейн_NOUN;салют_NOUN;покров_NOUN;игра_NOUN;институт_NOUN;пистолет_NOUN;жила_NOUN;заноза_NOUN;караул_NOUN;кость_NOUN;лес_NOUN;секрет_NOUN;вирус_NOUN;яд_NOUN;ниндзя_NOUN;вор_NOUN;треугольник_NOUN;королева_NOUN;золото_NOUN;;;золото_NOUN;секрет_NOUN;;;богатство_NOUN;0.22499999999999998
робот_NOUN;Европа_PROPN;повар_NOUN;фокус_NOUN;контрабандист_NOUN;наряд_NOUN;Байкал_NOUN;стадион_NOUN;кавалер_NOUN;танец_NOUN;Австралия_PROPN;перчатка_NOUN;опера_NOUN;лад_NOUN;пилот_NOUN;удел_NOUN;машина_NOUN;косяк_NOUN;зебра_NOUN;кокетка_NOUN;облом_NOUN;разворот_NOUN;гребень_NOUN;утка_NOUN;бутылка_NOUN;робот_NOUN;повар_NOUN;;;робот_NOUN;машина_NOUN;;;автоматизация_NOUN;0.15000000000000002
адвокат_NOUN;робот_NOUN;орган_NOUN;факел_NOUN;Олимп_NOUN;ерш_NOUN;прокат_NOUN;судьба_NOUN;курс_NOUN;парк_NOUN;предприниматель_NOUN;стрела_NOUN;палец_NOUN;подъем_NOUN;стадион_NOUN;лев_NOUN;полиция_NOUN;фокус_NOUN;хвост_NOUN;ключ_NOUN;рыцарь_NOUN;мед_NOUN;мотив_NOUN;осьминог_NOUN;операция_NOUN;адвокат_NOUN;прокат_NOUN;;;прокат_NOUN;предприниматель_NOUN;;;услуга_NOUN;0.15000000000000002
вертолет_NOUN;покров_NOUN;проказа_NOUN;няня_NOUN;Индия_PROPN;ясли_NOUN;орел_NOUN;Москва_PROPN;ерш_NOUN;стан_NOUN;брак_NOUN;станок_NOUN;овсянка_NOUN;биржа_NOUN;амфибия_NOUN;хвост_NOUN;предприниматель_NOUN;подкова_NOUN;кисть_NOUN;диск_NOUN;каша_NOUN;боевик_NOUN;бумага_NOUN;липа_NOUN;парк_NOUN;няня_NOUN;орел_NOUN;;;ясли_NOUN;проказа_NOUN;;;дети_NOUN;0.75
горло_NOUN;образование_NOUN;лейка_NOUN;телескоп_NOUN;лицо_NOUN;кран_NOUN;титан_NOUN;машина_NOUN;бык_NOUN;стул_NOUN;день_NOUN;киви_NOUN;рысь_NOUN;почка_NOUN;эфир_NOUN;ангел_NOUN;перемена_NOUN;помет_NOUN;смерть_NOUN;ключ_NOUN;лев_NOUN;декрет_NOUN;рейд_NOUN;театр_NOUN;стекло_NOUN;лейка_NOUN;кран_NOUN;;;лейка_NOUN;стул_NOUN;;;чайник_NOUN;0.15000000000000002
фига_NOUN;икра_NOUN;почка_NOUN;жизнь_NOUN;кость_NOUN;лошадь_NOUN;Египет_PROPN;панель_NOUN;мат_NOUN;колода_NOUN;вагон_NOUN;порода_NOUN;помет_NOUN;гигант_NOUN;береза_NOUN;боров_NOUN;волна_NOUN;судьба_NOUN;Бермуды_NOUN;война_NOUN;концерт_NOUN;нож_NOUN;норка_NOUN;знак_NOUN;Москва_PROPN;икра_NOUN;почка_NOUN;кость_NOUN;;почка_NOUN;кость_NOUN;бермуды_NOUN;;орган_NOUN;0.95
полиция_NOUN;больница_NOUN;снаряд_NOUN;венец_NOUN;луч_NOUN;лейка_NOUN;бочка_NOUN;шпагат_NOUN;крест_NOUN;лимузин_NOUN;нота_NOUN;казино_NOUN;гвоздь_NOUN;плата_NOUN;Бермуды_NOUN;сантехник_NOUN;осьминог_NOUN;сеть_NOUN;канал_NOUN;труба_NOUN;налет_NOUN;ступень_NOUN;экран_NOUN;кавалер_NOUN;микроскоп_NOUN;полиция_NOUN;снаряд_NOUN;;;кавалер_NOUN;снаряд_NOUN;;;война_NOUN;0.22499999999999998
болезнь_NOUN;корона_NOUN;лицо_NOUN;овсянка_NOUN;кол_NOUN;поле_NOUN;покров_NOUN;колода_NOUN;факел_NOUN;дух_NOUN;театр_NOUN;площадь_NOUN;пришелец_NOUN;место_NOUN;ниндзя_NOUN;бабочка_NOUN;коса_NOUN;горн_NOUN;пирамида_NOUN;пол_NOUN;шар_NOUN;частица_NOUN;диск_NOUN;червь_NOUN;водолаз_NOUN;овсянка_NOUN;поле_NOUN;;;овсянка_NOUN;червь_NOUN;;;каша_NOUN;0.22499999999999998
мушка_NOUN;порода_NOUN;струна_NOUN;камера_NOUN;концерт_NOUN;принцесса_NOUN;повар_NOUN;запад_NOUN;век_NOUN;стойка_NOUN;Лондон_PROPN;верфь_NOUN;стол_NOUN;проказа_NOUN;рак_NOUN;учитель_NOUN;проводник_NOUN;сила_NOUN;пилот_NOUN;рысь_NOUN;паук_NOUN;агент_NOUN;яд_NOUN;блок_NOUN;команда_NOUN;концерт_NOUN;принцесса_NOUN;;;концерт_NOUN;принцесса_NOUN;;;бал_NOUN;0.75
Пушкин_PROPN;киви_NOUN;почка_NOUN;игла_NOUN;нож_NOUN;кора_NOUN;солдат_NOUN;палата_NOUN;пачка_NOUN;кавалер_NOUN;дятел_NOUN;золото_NOUN;перо_NOUN;морковь_NOUN;бар_NOUN;тур_NOUN;рубашка_NOUN;дробь_NOUN;ударник_NOUN;форма_NOUN;опера_NOUN;мороженое_NOUN;мед_NOUN;ботинок_NOUN;ступень_NOUN;игла_NOUN;палата_NOUN;;;мед_NOUN;палата_NOUN;;;врач_NOUN;0.22499999999999998
агент_NOUN;сердце_NOUN;рыба_NOUN;обрез_NOUN;барьер_NOUN;пробка_NOUN;вертолет_NOUN;нота_NOUN;автомат_NOUN;мороженое_NOUN;рог_NOUN;лицо_NOUN;диск_NOUN;кенгуру_NOUN;сантехник_NOUN;бумага_NOUN;кулак_NOUN;церковь_NOUN;камера_NOUN;норка_NOUN;мир_NOUN;раствор_NOUN;сила_NOUN;липа_NOUN;вилка_NOUN;пробка_NOUN;вертолет_NOUN;;;вертолет_NOUN;пробка_NOUN;;;транспорт_NOUN;0.75
яд_NOUN;Индия_PROPN;больница_NOUN;область_NOUN;залог_NOUN;Рим_PROPN;мед_NOUN;крошка_NOUN;Сатурн_NOUN;знак_NOUN;порода_NOUN;право_NOUN;Франция_PROPN;ствол_NOUN;полиция_NOUN;помет_NOUN;глаз_NOUN;груша_NOUN;секция_NOUN;единорог_NOUN;вагон_NOUN;гранат_NOUN;строй_NOUN;парк_NOUN;адвокат_NOUN;Индия_PROPN;область_NOUN;Рим_PROPN;;индия_PROPN;область_NOUN;право_NOUN;;география_NOUN;0.19
налет_NOUN;гранат_NOUN;горн_NOUN;диск_NOUN;десна_NOUN;пояс_NOUN;прибор_NOUN;венец_NOUN;бочка_NOUN;лазер_NOUN;ученый_NOUN;корона_NOUN;кролик_NOUN;пол_NOUN;номер_NOUN;кол_NOUN;среда_NOUN;рыба_NOUN;гриф_NOUN;Байкал_NOUN;мат_NOUN;икра_NOUN;масса_NOUN;трава_NOUN;Германия_PROPN;налет_NOUN;десна_NOUN;;;десна_NOUN;ученый_NOUN;;;стоматолог_NOUN;0.15000000000000002
стопа_NOUN;лошадь_NOUN;игла_NOUN;колода_NOUN;мелочь_NOUN;брак_NOUN;нож_NOUN;образ_NOUN;место_NOUN;сеть_NOUN;палочка_NOUN;пачка_NOUN;рукав_NOUN;Европа_PROPN;отель_NOUN;воздух_NOUN;перо_NOUN;кит_NOUN;ствол_NOUN;порода_NOUN;земля_NOUN;небоскреб_NOUN;призрак_NOUN;секция_NOUN;пирамида_NOUN;стопа_NOUN;лошадь_NOUN;;;лошадь_NOUN;стопа_NOUN;;;копыто_NOUN;0.75
зебра_NOUN;залог_NOUN;пилот_NOUN;кетчуп_NOUN;ацтек_NOUN;карта_NOUN;тарелка_NOUN;кость_NOUN;биржа_NOUN;палата_NOUN;киви_NOUN;кольцо_NOUN;кролик_NOUN;миллионер_NOUN;огонь_NOUN;замок_NOUN;полис_NOUN;утконос_NOUN;динозавр_NOUN;разворот_NOUN;точка_NOUN;скат_NOUN;блин_NOUN;платье_NOUN;номер_NOUN;пилот_NOUN;карта_NOUN;;;разворот_NOUN;карта_NOUN;;;путешествие_NOUN;0.22499999999999998
мороженое_NOUN;танец_NOUN;колонна_NOUN;заноза_NOUN;мушка_NOUN;секрет_NOUN;гений_NOUN;снеговик_NOUN;кадр_NOUN;стадион_NOUN;тур_NOUN;орган_NOUN;Франция_PROPN;право_NOUN;рог_NOUN;пассаж_NOUN;липа_NOUN;поток_NOUN;башня_NOUN;водолаз_NOUN;палата_NOUN;скат_NOUN;вид_NOUN;ссылка_NOUN;Токио_PROPN;мороженое_NOUN;снеговик_NOUN;;;снеговик_NOUN;мороженое_NOUN;;;холод_NOUN;0.75
бокс_NOUN;порода_NOUN;Франция_PROPN;Олимп_NOUN;сила_NOUN;разворот_NOUN;мотив_NOUN;стол_NOUN;проспект_NOUN;вал_NOUN;день_NOUN;площадь_NOUN;подкова_NOUN;нож_NOUN;аппарат_NOUN;пирамида_NOUN;Антарктида_PROPN;банк_NOUN;баня_NOUN;тур_NOUN;липа_NOUN;гранат_NOUN;бревно_NOUN;ветер_NOUN;мед_NOUN;Франция_PROPN;Олимп_NOUN;сила_NOUN;;тур_NOUN;олимп_NOUN;антарктида_PROPN;;олимпиада_NOUN;0.285
автомат_NOUN;пират_NOUN;десна_NOUN;горло_NOUN;наряд_NOUN;земля_NOUN;операция_NOUN;урна_NOUN;дыра_NOUN;кисть_NOUN;игла_NOUN;край_NOUN;контрабандист_NOUN;судьба_NOUN;лад_NOUN;голова_NOUN;Олимп_NOUN;вертолет_NOUN;биржа_NOUN;ниндзя_NOUN;скат_NOUN;пассаж_NOUN;горн_NOUN;эльф_NOUN;телескоп_NOUN;десна_NOUN;горло_NOUN;операция_NOUN;;операция_NOUN;кисть_NOUN;горло_NOUN;;хирургия_NOUN;0.19
платье_NOUN;Греция_PROPN;фига_NOUN;образование_NOUN;рок_NOUN;Франция_PROPN;яблоко_NOUN;золото_NOUN;курс_NOUN;кол_NOUN;эльф_NOUN;перевод_NOUN;кран_NOUN;пингвин_NOUN;гранат_NOUN;липа_NOUN;покров_NOUN;шуба_NOUN;круг_NOUN;среда_NOUN;профиль_NOUN;банк_NOUN;порода_NOUN;кадр_NOUN;гвоздь_NOUN;Греция_PROPN;образование_NOUN;Франция_PROPN;;профиль_NOUN;курс_NOUN;круг_NOUN;;география_NOUN;0.0
ссылка_NOUN;палочка_NOUN;жила_NOUN;эльф_NOUN;небоскреб_NOUN;игра_NOUN;вода_NOUN;секция_NOUN;палец_NOUN;линия_NOUN;дракон_NOUN;ласка_NOUN;Франция_PROPN;ерш_NOUN;Египет_PROPN;крошка_NOUN;стрела_NOUN;снаряд_NOUN;Индия_PROPN;ботинок_NOUN;наряд_NOUN;горн_NOUN;машина_NOUN;свидетель_NOUN;кадр_NOUN;небоскреб_NOUN;;;;снаряд_NOUN;;;;парашют_NOUN;0.020000000000000004
время_NOUN;рок_NOUN;такса_NOUN;игра_NOUN;секрет_NOUN;смерть_NOUN;бочка_NOUN;мед_NOUN;клетка_NOUN;палец_NOUN;небоскреб_NOUN;Берлин_PROPN;стан_NOUN;король_NOUN;осьминог_NOUN;Германия_PROPN;вертолет_NOUN;игла_NOUN;рулетка_NOUN;золото_NOUN;казино_NOUN;мелочь_NOUN;штат_NOUN;раковина_NOUN;урна_NOUN;бочка_NOUN;мед_NOUN;;;мед_NOUN;мелочь_NOUN;;;сладость_NOUN;0.22499999999999998
воздух_NOUN;журавль_NOUN;Байкал_NOUN;больница_NOUN;лимузин_NOUN;рак_NOUN;фокус_NOUN;танец_NOUN;стойка_NOUN;сердце_NOUN;доктор_NOUN;декрет_NOUN;облом_NOUN;лист_NOUN;груша_NOUN;поле_NOUN;гриф_NOUN;концерт_NOUN;вагон_NOUN;бабочка_NOUN;парк_NOUN;узел_NOUN;корабль_NOUN;Австралия_PROPN;глаз_NOUN;воздух_NOUN;Байкал_NOUN;;;воздух_NOUN;танец_NOUN;;;стихия_NOUN;0.75
вал_NOUN;покров_NOUN;журавль_NOUN;динозавр_NOUN;Египет_PROPN;Голливуд_PROPN;право_NOUN;бык_NOUN;пассаж_NOUN;посольство_NOUN;зона_NOUN;жила_NOUN;королева_NOUN;Сатурн_NOUN;прокат_NOUN;эфир_NOUN;башня_NOUN;раствор_NOUN;земля_NOUN;Европа_PROPN;золото_NOUN;икра_NOUN;знак_NOUN;война_NOUN;язык_NOUN;журавль_NOUN;динозавр_NOUN;;;динозавр_NOUN;бык_NOUN;;;животное_NOUN;0.75
орган_NOUN;стрела_NOUN;туба_NOUN;земля_NOUN;время_NOUN;плата_NOUN;сердце_NOUN;диск_NOUN;центр_NOUN;рукав_NOUN;акт_NOUN;дума_NOUN;пират_NOUN;Рим_PROPN;бар_NOUN;бык_NOUN;овсянка_NOUN;кол_NOUN;миллионер_NOUN;пистолет_NOUN;аппарат_NOUN;масло_NOUN;Голливуд_PROPN;голова_NOUN;автомат_NOUN;время_NOUN;плата_NOUN;;;миллионер_NOUN;плата_NOUN;;;деньги_NOUN;0.22499999999999998
зона_NOUN;перо_NOUN;предприниматель_NOUN;Лондон_PROPN;крест_NOUN;вода_NOUN;ниндзя_NOUN;Азия_PROPN;стойка_NOUN;дракон_NOUN;Европа_PROPN;высота_NOUN;побег_NOUN;гриф_NOUN;стул_NOUN;трава_NOUN;падение_NOUN;бык_NOUN;плата_NOUN;такса_NOUN;Байкал_NOUN;танец_NOUN;точка_NOUN;право_NOUN;пришелец_NOUN;предприниматель_NOUN;ниндзя_NOUN;;;предприниматель_NOUN;пришелец_NOUN;;;человек_NOUN;0.22499999999999998
мушка_NOUN;рысь_NOUN;мышь_NOUN;знак_NOUN;Греция_PROPN;микроскоп_NOUN;почка_NOUN;флейта_NOUN;пара_NOUN;фига_NOUN;хлопок_NOUN;высота_NOUN;секция_NOUN;помет_NOUN;бык_NOUN;дама_NOUN;динозавр_NOUN;поток_NOUN;полиция_NOUN;якорь_NOUN;машина_NOUN;станок_NOUN;гвоздь_NOUN;тарелка_NOUN;мост_NOUN;рысь_NOUN;мышь_NOUN;;;помет_NOUN;динозавр_NOUN;;;самка_NOUN;0.030000000000000006
совет_NOUN;лад_NOUN;мышь_NOUN;овсянка_NOUN;дума_NOUN;земля_NOUN;образование_NOUN;снег_NOUN;секция_NOUN;рок_NOUN;десна_NOUN;Австралия_PROPN;ссылка_NOUN;шар_NOUN;утка_NOUN;рак_NOUN;кошка_NOUN;глаз_NOUN;сердце_NOUN;команда_NOUN;небоскреб_NOUN;Америка_PROPN;труба_NOUN;мороженое_NOUN;кольцо_NOUN;совет_NOUN;дума_NOUN;;;дума_NOUN;образование_NOUN;;;государственный_ADJ;0.75
утконос_NOUN;королева_NOUN;крошка_NOUN;наряд_NOUN;строй_NOUN;полиция_NOUN;колонна_NOUN;платье_NOUN;вид_NOUN;утка_NOUN;масло_NOUN;порода_NOUN;билет_NOUN;образование_NOUN;путь_NOUN;мед_NOUN;мелочь_NOUN;состав_NOUN;образ_NOUN;вода_NOUN;ведьма_NOUN;пляж_NOUN;секрет_NOUN;свидетель_NOUN;посольство_NOUN;наряд_NOUN;платье_NOUN;;;платье_NOUN;наряд_NOUN;;;одежда_NOUN;0.75
стрела_NOUN;зебра_NOUN;доктор_NOUN;банк_NOUN;казино_NOUN;свет_NOUN;лейка_NOUN;блин_NOUN;кролик_NOUN;урна_NOUN;дух_NOUN;стекло_NOUN;ударник_NOUN;экран_NOUN;перемена_NOUN;косяк_NOUN;ссылка_NOUN;снег_NOUN;сила_NOUN;Греция_PROPN;бомба_NOUN;альбом_NOUN;кабинет_NOUN;плата_NOUN;форма_NOUN;банк_NOUN;казино_NOUN;;;кабинет_NOUN;урна_NOUN;;;здание_NOUN;0.045
дятел_NOUN;бомба_NOUN;шпион_NOUN;рак_NOUN;форма_NOUN;бар_NOUN;снеговик_NOUN;налет_NOUN;норка_NOUN;король_NOUN;полис_NOUN;верфь_NOUN;залог_NOUN;прокат_NOUN;трава_NOUN;пирамида_NOUN;стойка_NOUN;стрела_NOUN;путь_NOUN;курс_NOUN;мелочь_NOUN;дракон_NOUN;база_NOUN;Олимп_NOUN;пингвин_NOUN;дятел_NOUN;рак_NOUN;;;дракон_NOUN;пингвин_NOUN;;;животное_NOUN;0.06749999999999999
бар_NOUN;проводник_NOUN;мелочь_NOUN;образование_NOUN;линия_NOUN;единорог_NOUN;время_NOUN;боевик_NOUN;гранат_NOUN;рысь_NOUN;форма_NOUN;станок_NOUN;небоскреб_NOUN;вес_NOUN;рок_NOUN;рог_NOUN;автомат_NOUN;перо_NOUN;соль_NOUN;сердце_NOUN;отель_NOUN;масса_NOUN;треугольник_NOUN;проспект_NOUN;гений_NOUN;мелочь_NOUN;время_NOUN;;;автомат_NOUN;мелочь_NOUN;;;деньги_NOUN;0.15000000000000002
нота_NOUN;декрет_NOUN;туба_NOUN;яд_NOUN;Рим_PROPN;треугольник_NOUN;пачка_NOUN;салют_NOUN;сеть_NOUN;робот_NOUN;шуба_NOUN;яблоко_NOUN;лед_NOUN;удел_NOUN;доктор_NOUN;волна_NOUN;якорь_NOUN;солдат_NOUN;хвост_NOUN;лес_NOUN;вода_NOUN;Индия_PROPN;динозавр_NOUN;блок_NOUN;альбом_NOUN;яд_NOUN;пачка_NOUN;;;яд_NOUN;вода_NOUN;;;никотин_NOUN;0.22499999999999998
бумага_NOUN;небоскреб_NOUN;гвоздь_NOUN;канал_NOUN;бар_NOUN;ниндзя_NOUN;высота_NOUN;груша_NOUN;опера_NOUN;сантехник_NOUN;вертолет_NOUN;механизм_NOUN;театр_NOUN;нож_NOUN;бык_NOUN;колода_NOUN;галоп_NOUN;совет_NOUN;лазер_NOUN;стул_NOUN;ласка_NOUN;стена_NOUN;развод_NOUN;боевик_NOUN;звезда_NOUN;бар_NOUN;ниндзя_NOUN;;;груша_NOUN;бар_NOUN;;;мятный_ADJ;0.75
лейка_NOUN;перо_NOUN;Франция_PROPN;мотив_NOUN;пират_NOUN;агент_NOUN;парк_NOUN;орган_NOUN;ложе_NOUN;область_NOUN;подъем_NOUN;земля_NOUN;снаряд_NOUN;норка_NOUN;ведьма_NOUN;привод_NOUN;брак_NOUN;зона_NOUN;Сатурн_NOUN;гигант_NOUN;побег_NOUN;хвост_NOUN;болезнь_NOUN;мат_NOUN;частица_NOUN;Франция_PROPN;мотив_NOUN;;;франция_PROPN;пират_NOUN;;;марсельеза_NOUN;0.75
принцесса_NOUN;побег_NOUN;голова_NOUN;лев_NOUN;операция_NOUN;гриф_NOUN;Азия_PROPN;состав_NOUN;развод_NOUN;театр_NOUN;жук_NOUN;почка_NOUN;ветер_NOUN;путь_NOUN;ложе_NOUN;ботинок_NOUN;спутник_NOUN;биржа_NOUN;призрак_NOUN;лазер_NOUN;шар_NOUN;вес_NOUN;залог_NOUN;образ_NOUN;бык_NOUN;побег_NOUN;операция_NOUN;;;побег_NOUN;принцесса_NOUN;;;тюрьма_NOUN;0.75
Америка_PROPN;взгляд_NOUN;ветер_NOUN;запах_NOUN;стан_NOUN;башня_NOUN;Лондон_PROPN;соль_NOUN;боров_NOUN;свидетель_NOUN;курс_NOUN;пара_NOUN;пришелец_NOUN;карлик_NOUN;червь_NOUN;флейта_NOUN;пират_NOUN;гриф_NOUN;разворот_NOUN;область_NOUN;динозавр_NOUN;гребень_NOUN;блок_NOUN;парашют_NOUN;лист_NOUN;башня_NOUN;Лондон_PROPN;;;гребень_NOUN;башня_NOUN;;;высота_NOUN;0.22499999999999998
